,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
175,2020,4,Entre Ríos,53141,247381,110541,20_4
71,2022,1,Tucumán,133846,245584,64855,22_1
199,2020,3,Entre Ríos,49395,241495,126033,20_3
271,2019,4,Entre Ríos,30153,239030,150611,19_4
95,2021,4,Tucumán,125857,238639,65030,21_4
295,2019,3,Entre Ríos,22645,236314,142572,19_3
319,2019,2,Entre Ríos,10664,234213,154189,19_2
223,2020,2,Entre Ríos,43391,234113,88802,20_2
343,2019,1,Entre Ríos,7619,233180,163513,19_1
143,2021,2,Tucumán,109616,233051,70268,21_2
119,2021,3,Tucumán,115154,232472,62775,21_3
167,2021,1,Tucumán,103437,231912,73513,21_1
191,2020,4,Tucumán,93594,231089,81615,20_4
247,2020,1,Entre Ríos,39794,230292,130774,20_1
132,2021,2,Mendoza,20686,229671,198652,21_2
215,2020,3,Tucumán,84195,223876,83775,20_3
300,2019,3,Mendoza,349,222774,219656,19_3
367,2018,4,Entre Ríos,7612,222047,150877,18_4
156,2021,1,Mendoza,16615,218923,191660,21_1
239,2020,2,Tucumán,74377,217156,86948,20_2
348,2019,1,Mendoza,140,215979,214181,19_1
180,2020,4,Mendoza,11557,215453,190766,20_4
396,2018,3,Mendoza,129,208201,206019,18_3
204,2020,3,Mendoza,8237,207788,188265,20_3
372,2018,4,Mendoza,132,206304,204029,18_4
16,2022,3,Salta,85661,204541,40875,22_3
391,2018,3,Entre Ríos,6786,204062,151787,18_3
40,2022,2,Salta,81478,203177,42193,22_2
228,2020,2,Mendoza,5422,201184,181755,20_2
420,2018,2,Mendoza,72,200932,169284,18_2
444,2018,1,Mendoza,72,200927,169311,18_1
263,2020,1,Tucumán,67536,200449,82314,20_1
415,2018,2,Entre Ríos,5920,199439,149111,18_2
88,2021,4,Salta,72622,199405,52190,21_4
287,2019,4,Tucumán,56707,198644,90415,19_4
64,2022,1,Salta,76838,197515,46968,22_1
439,2018,1,Entre Ríos,5071,196848,146340,18_1
112,2021,3,Salta,67010,195833,53481,21_3
463,2017,4,Entre Ríos,4113,193499,117188,17_4
136,2021,2,Salta,58882,191639,60506,21_2
607,2016,2,Entre Ríos,205,189595,160114,16_2
160,2021,1,Salta,54889,187574,59378,21_1
184,2020,4,Salta,46697,187390,71152,20_4
276,2019,4,Mendoza,2628,185780,170091,19_4
487,2017,3,Entre Ríos,2397,185501,140157,17_3
511,2017,2,Entre Ríos,823,182797,138662,17_2
13,2022,3,Misiones,80330,182157,73178,22_3
583,2016,3,Entre Ríos,248,181226,142313,16_3
208,2020,3,Salta,43773,180846,48737,20_3
535,2017,1,Entre Ríos,317,180418,132171,17_1
559,2016,4,Entre Ríos,280,180310,140027,16_4
468,2017,4,Mendoza,81,180154,182632,17_4
37,2022,2,Misiones,75107,178813,74103,22_2
588,2016,3,Mendoza,17,178376,179186,16_3
232,2020,2,Salta,39594,177762,72961,20_2
612,2016,2,Mendoza,20,177519,182082,16_2
516,2017,2,Mendoza,22,177505,179083,17_2
540,2017,1,Mendoza,22,177485,178961,17_1
564,2016,4,Mendoza,20,177477,179034,16_4
252,2020,1,Mendoza,3818,176960,159165,20_1
636,2016,1,Mendoza,17,175744,178416,16_1
660,2015,4,Mendoza,13,175080,177819,15_4
631,2016,1,Entre Ríos,165,174533,143377,16_1
655,2015,4,Entre Ríos,163,174191,143630,15_4
684,2015,3,Mendoza,13,173792,176470,15_3
679,2015,3,Entre Ríos,153,172487,141002,15_3
280,2019,4,Salta,25821,172445,60445,19_4
359,2019,1,Tucumán,14839,172217,98679,19_1
383,2018,4,Tucumán,14839,172004,122074,18_4
52,2022,1,Chubut,14055,171628,81355,22_1
61,2022,1,Misiones,58610,171508,82747,22_1
85,2021,4,Misiones,54596,171132,85151,21_4
407,2018,3,Tucumán,12187,171040,124184,18_3
708,2015,2,Mendoza,13,170821,173601,15_2
256,2020,1,Salta,34744,170695,71583,20_1
732,2015,1,Mendoza,11,170145,173093,15_1
431,2018,2,Tucumán,8784,169850,114937,18_2
756,2014,4,Mendoza,12,169611,172632,14_4
703,2015,2,Entre Ríos,136,169543,140300,15_2
455,2018,1,Tucumán,7082,167984,114066,18_1
780,2014,3,Mendoza,1,167855,168363,14_3
804,2014,2,Mendoza,10,166807,167270,14_2
828,2014,1,Mendoza,9,166740,167225,14_1
727,2015,1,Entre Ríos,119,166418,140652,15_1
4,2022,3,Chubut,17563,165778,98232,22_3
311,2019,3,Tucumán,20385,164444,105087,19_3
14,2022,3,Neuquén,78713,163161,49894,22_3
28,2022,2,Chubut,15394,162805,66293,22_2
479,2017,4,Tucumán,4367,162248,113585,17_4
38,2022,2,Neuquén,76982,161968,61400,22_2
15,2022,3,Río Negro,42596,160558,76830,22_3
76,2021,4,Chubut,2904,160308,98005,21_4
503,2017,3,Tucumán,655,159959,114983,17_3
39,2022,2,Río Negro,41972,159764,76583,22_2
492,2017,3,Mendoza,19,158818,160691,17_3
109,2021,3,Misiones,42291,158528,83363,21_3
63,2022,1,Río Negro,37729,157374,79178,22_1
133,2021,2,Misiones,38308,156176,84186,21_2
100,2021,3,Chubut,1643,156066,110328,21_3
527,2017,2,Tucumán,21,154390,112697,17_2
87,2021,4,Río Negro,36142,153753,72775,21_4
551,2017,1,Tucumán,13,152750,114446,17_1
304,2019,3,Salta,12357,151938,78377,19_3
575,2016,4,Tucumán,10,151631,113378,16_4
599,2016,3,Tucumán,4,151304,104090,16_3
62,2022,1,Neuquén,71238,149679,56166,22_1
157,2021,1,Misiones,32953,149387,75205,21_1
623,2016,2,Tucumán,2,148926,106933,16_2
86,2021,4,Neuquén,69217,147466,63959,21_4
181,2020,4,Misiones,32264,147161,73664,20_4
647,2016,1,Tucumán,0,146613,123916,16_1
671,2015,4,Tucumán,0,146080,103052,15_4
30,2022,2,Corrientes,55071,144997,58580,22_2
6,2022,3,Corrientes,56950,144846,57444,22_3
111,2021,3,Río Negro,34011,144585,79581,21_3
695,2015,3,Tucumán,0,144301,120873,15_3
303,2019,3,Río Negro,15505,144243,109094,19_3
3,2022,3,Chaco,79390,144146,55139,22_3
51,2022,1,Chaco,62946,144119,56507,22_1
135,2021,2,Río Negro,31488,144084,95062,21_2
75,2021,4,Chaco,58435,143745,60204,21_4
27,2022,2,Chaco,76271,143564,47625,22_2
205,2020,3,Misiones,30987,143186,84560,20_3
328,2019,2,Salta,6461,142650,100888,19_2
54,2022,1,Corrientes,43631,142578,66791,22_1
183,2020,4,Río Negro,29372,141210,92858,20_4
159,2021,1,Río Negro,29589,141168,92608,21_1
751,2014,4,Entre Ríos,66,140730,122355,14_4
123,2021,2,Chaco,47239,140729,67675,21_2
719,2015,2,Tucumán,0,140670,118762,15_2
229,2020,2,Misiones,28763,140340,84567,20_2
99,2021,3,Chaco,49705,139871,64939,21_3
110,2021,3,Neuquén,57919,139809,71696,21_3
147,2021,1,Chaco,42462,139770,70539,21_1
124,2021,2,Chubut,1112,139237,112229,21_2
171,2020,4,Chaco,40949,139091,71415,20_4
327,2019,2,Río Negro,6907,138429,114258,19_2
743,2015,1,Tucumán,0,138262,119170,15_1
134,2021,2,Neuquén,54008,138250,73917,21_2
767,2014,4,Tucumán,0,137414,118700,14_4
775,2014,3,Entre Ríos,48,136796,96261,14_3
352,2019,1,Salta,2242,136012,77118,19_1
78,2021,4,Corrientes,39911,135912,68959,21_4
277,2019,4,Misiones,20799,135813,83305,19_4
799,2014,2,Entre Ríos,44,135495,122887,14_2
424,2018,2,Salta,182,135006,98992,18_2
376,2018,4,Salta,2242,134578,75793,18_4
823,2014,1,Entre Ríos,43,134248,130091,14_1
448,2018,1,Salta,88,134001,101869,18_1
195,2020,3,Chaco,38729,133954,70172,20_3
102,2021,3,Corrientes,35468,133819,71228,21_3
400,2018,3,Salta,502,133722,101482,18_3
253,2020,1,Misiones,26313,133700,80586,20_1
472,2017,4,Salta,84,133648,106446,17_4
496,2017,3,Salta,63,133400,93551,17_3
158,2021,1,Neuquén,50840,133235,72181,21_1
182,2020,4,Neuquén,50776,133135,72148,20_4
309,2019,3,Santiago Del Estero,1836,132632,42248,19_3
148,2021,1,Chubut,1112,132340,107372,21_1
815,2014,2,Tucumán,0,132059,123079,14_2
791,2014,3,Tucumán,0,132054,123074,14_3
207,2020,3,Río Negro,28488,131467,85337,20_3
301,2019,3,Misiones,16650,131099,73291,19_3
172,2020,4,Chubut,1112,130574,105171,20_4
325,2019,2,Misiones,8129,130052,82755,19_2
839,2014,1,Tucumán,0,130032,121592,14_1
196,2020,3,Chubut,1110,130027,105264,20_3
126,2021,2,Corrientes,32697,129501,71122,21_2
231,2020,2,Río Negro,26953,129486,87361,20_2
206,2020,3,Neuquén,49439,129235,77337,20_3
219,2020,2,Chaco,33311,128132,77836,20_2
279,2019,4,Río Negro,19837,127140,88513,19_4
255,2020,1,Río Negro,25488,126927,86010,20_1
150,2021,1,Corrientes,27641,126625,72654,21_1
230,2020,2,Neuquén,46432,126172,78542,20_2
333,2019,2,Santiago Del Estero,1205,126056,70311,19_2
174,2020,4,Corrientes,26789,125659,72910,20_4
349,2019,1,Misiones,5167,125633,87345,19_1
302,2019,3,Neuquén,28458,124898,92137,19_3
198,2020,3,Corrientes,25344,123391,75103,20_3
326,2019,2,Neuquén,14132,122886,87273,19_2
138,2021,2,San Luis,22,122818,83716,21_2
306,2019,3,San Luis,5,122702,87125,19_3
254,2020,1,Neuquén,43738,122214,78124,20_1
18,2022,3,San Luis,13,122070,89732,22_3
42,2022,2,San Luis,13,121741,88990,22_2
351,2019,1,Río Negro,5076,120826,113450,19_1
243,2020,1,Chaco,28539,120226,75918,20_1
66,2022,1,San Luis,13,119844,93741,22_1
186,2020,4,San Luis,22,119435,79527,20_4
162,2021,1,San Luis,22,119154,79811,21_1
21,2022,3,Santiago Del Estero,12342,119032,56708,22_3
222,2020,2,Corrientes,22418,118866,73974,20_2
90,2021,4,San Luis,9,118849,88280,21_4
9,2022,3,Jujuy,45895,118823,62867,22_3
45,2022,2,Santiago Del Estero,10672,118044,56198,22_2
267,2019,4,Chaco,21556,117903,71147,19_4
114,2021,3,San Luis,22,117864,86585,21_3
330,2019,2,San Luis,5,117383,80071,19_2
375,2018,4,Río Negro,5070,116837,99390,18_4
446,2018,1,Neuquén,7378,116746,101952,18_1
210,2020,3,San Luis,8,116565,77234,20_3
57,2022,1,Jujuy,35287,116509,68165,22_1
69,2022,1,Santiago Del Estero,8309,116461,55433,22_1
278,2019,4,Neuquén,35001,116445,78976,19_4
373,2018,4,Misiones,5167,116273,85510,18_4
10,2022,3,La Pampa,22731,116092,81308,22_3
